7/13/2025,May 1,May 2,May 3,May 4,May 5,May 6,May 7,May 8,May 9,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,,TOTAL,,,,
CleverTap SMS Africa Talking,$0,$98,$55,$71,$3,$49,$63,$44,$139,$47,$25,$114,$54,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$38,$0,$0,$0,$0,$0,,$799,,,,
CleverTap MJ Infobip,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$3,$43,$43,$36,$33,$38,$8,-$14,$24,$7,$0,$37,$27,,$343,,,,
Kochava,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,,$917,,,,
MTN,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,$13,,$392,,,,
Africa Talking,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,$65,,"$2,019",,,,
MTN Blast SMS,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,$68,,"$2,117",,,,
Referal payments,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,$59,,"$1,841","98,050",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markeing - Brand Monthly budget,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,$503,,"$15,581",,,,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,$0.00,,
Poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,"15,581",$0.00,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
