7/13/2025,April 1,April 2,April 3,April 4,April 5,April 6,April 7,April 8,April 9,April 10,April 11,April 12,April 13,April 14,April 15,April 16,April 17,April 18,April 19,April 20,April 21,April 22,April 23,April 24,April 25,April 26,April 27,April 28,April 29,April 30,,TOTAL,,,,,,
Remarketing SMS,$0,$211,$230,$150,$37,$0,$144,$164,$164,$215,$130,$75,$0,$127,$126,$124,$177,$108,$58,$0,$164,$168,$144,$158,$48,$125,$36,$154,$147,$180,,"$3,563",,,,,,
Unapplied Leads,$0,$37,$37,$50,$30,$0,$39,$50,$26,$44,$37,$0,$0,$27,$42,$50,$50,$0,$50,$0,$25,$0,$75,$50,$47,$32,$74,$37,$58,$37,,"$1,003",,,,,,
CleverTap MJ,$6,$6,$6,$6,$6,$6,$6,$6,$6,$1,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,$6,,$164,,,,,,
Kochava,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,$31,,$917,,,,,,
MTN,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,$16,,$476,,,"$3,335",,,
Africa Talking,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,$45,,"$1,364",,,$3,,,
MTN Blast SMS,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,$95,,"$2,859",,,,,,
Referal payments,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,$82,,"$2,466","93,190",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markeing - Brand Monthly budget,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,$510,,"$15,297",,,,,,
