1/9/2025,December 1,December 2,December 3,December 4,December 5,December 6,December 7,December 8,December 9,December 10,December 11,December 12,December 13,December 14,December 15,December 16,December 17,December 18,December 19,December 20,December 21,December 22,December 23,December 24,December 25,December 26,December 27,December 28,December 29,December 30,December 31,,TOTAL,,,,,,,,,,,,,,,,,,,,,July 9
Unapplied Leads,$0,$101,$87,$87,$87,$87,$42,$0,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$52,$63,$0,$0,$52,$0,$0,$35,$35,$0,$52,$52,,"$1,406",,,,,,,,,,,,,,,,,,,,,
CleverTap MJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,
MTN,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,,$791,,,,,,,,,,,,,,,,,,,,,
AT,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
MTN Blast SMS,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,$97,,"$3,000","74,633",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
Poster,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
Billboards,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,$116,,"$3,600",,,,,,,,,,,,,,,,,,,,,
Radio,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,,,,,,,,,,,,,,,,
